Роль сотрудника;ФИО;Логин;Пароль
Администратор;Никифорова Весения Николаевна;94d5ous@gmail.com;uzWC67
Администратор;Сазонов Руслан Германович;uth4iz@mail.com;2L6KZG
Администратор;Одинцов Серафим Артёмович;yzls62@outlook.com;JlFRCZ
Менеджер;Степанов Михаил Артёмович;1diph5e@tutanota.com;8ntwUp
Менеджер;Ворсин Петр Евгеньевич;tjde7c@yahoo.com;YOyhfR
Менеджер;Старикова Елена Павловна;wpmrc3do@tutanota.com;RSbvHv
Клиент;Михайлюк Анна Вячеславовна;5d4zbu@tutanota.com;rwVDh9
Клиент;Ситдикова Елена Анатольевна;ptec8ym@yahoo.com;LdNyos
Клиент;Ворсин Петр Евгеньевич;1qz4kw@mail.com;gynQMT
Клиент;Старикова Елена Павловна;4np6se@mail.com;AtnDjr
;;;
;;;
;;;
;;;
;;;
